Year;Title;Role;Notes;Ref(s)
1982;Fast Times at Ridgemont High;Brad's Bud;Credited as Nicolas Coppola;[1]
1983;Valley Girl;Randy;;[16]
1983;Rumble Fish;Smokey;;[17]
1984;Racing with the Moon;Nicky;;[18]
1984;The Cotton Club;Vincent Dwyer;;[19]
1984;Birdy;Al Columbato;;[20]
1986;The Boy in Blue;Ned Hanlan;;[21]
1986;Peggy Sue Got Married;Charlie Bodell;;[22]
1987;Raising Arizona;H.I. McDunnough;;[23]
1987;Moonstruck;Ronny Cammareri;;[24]
1988;Vampire's Kiss;Peter Loew;;[6]
1989;Never on Tuesday;Man in red sports car;"Direct-to-video; uncredited cameo";[25]
1989;Time to Kill;Enrico Silvestri;;[26]
1990;Wild at Heart;Sailor Ripley;;[27]
1990;Fire Birds;Jake Preston;;[28]
1991;Zandalee;Johnny Collins;Direct-to-video;[29]
1992;Honeymoon in Vegas;Jack Singer;;[30]
1993;Amos & Andrew;Amos Odell;;[31]
1993;Red Rock West;Michael;;[32]
1993;Deadfall;Eddie;;[33]
1994;Guarding Tess;Doug Chesnic;;[34]
1994;It Could Happen to You;Charlie Lang;;[35]
1994;Trapped in Paradise;Bill Firpo;;[36]
1994;A Century of Cinema;Himself;Documentary;[37]
1995;Kiss of Death;Little Junior Brown;;[38]
1995;Leaving Las Vegas;Ben Sanderson;;[39]
1996;The Rock;Stanley Goodspeed;;[40]
1997;Con Air;Cameron Poe;;[41]
1997;Face/Off;Castor Troy;;[42]
1998;City of Angels;Seth;;[43]
1998;Snake Eyes;Rick Santoro;;[44]
1999;8mm;Tom Welles;;[45]
1999;Bringing Out the Dead;Frank Pierce;;[46]
2000;Gone in 60 Seconds;Memphis Raines;;[47]
2000;The Family Man;Jack Campbell;;[48]
2000;Bel Air;—;Producer;[49]
2000;Shadow of the Vampire;—;Producer;[50]
2001;Captain Corelli's Mandolin;Captain Antonio Corelli;;[51]
2001;Christmas Carol: The Movie;Jacob Marley;Voice role;[52]
2002;Windtalkers;Joe Enders;;[53]
2002;Sonny;Acid Yellow;Also director and producer;[54]
2002;Adaptation;Charlie Kaufman / Donald Kaufman;;[55]
2003;The Life of David Gale;—;Producer;[56]
2003;Matchstick Men;Roy Waller;;[57]
2004;National Treasure;Benjamin Franklin Gates;;[58]
2005;Lord of War;Yuri Orlov;Also producer;[59]
2005;The Weather Man;David Spritz;;[60]
2006;The Ant Bully;Zoc;Voice role;[61]
2006;World Trade Center;John McLoughlin;;[62]
2006;The Wicker Man;Edward Malus;Also producer;[63]
2007;Ghost Rider;Johnny Blaze / Ghost Rider;;[64]
2007;Grindhouse;Fu Manchu;"Segment: ""Werewolf Women of the SS""; uncredited";[65]
2007;Next;Cris Johnson;Also producer;[66]
2007;National Treasure: Book of Secrets;Benjamin Franklin Gates;;[67]
2008;Bangkok Dangerous;Joe;Also producer;[68]
2009;Knowing;John Koestler;;[69]
2009;G-Force;Speckles;Voice role;[70]
2009;Bad Lieutenant: Port of Call New Orleans;Terence McDonagh;;[71]
2009;Astro Boy;Dr. Tenma;Voice role;[72]
2010;Kick-Ass;Damon Macready / Big Daddy;;[73]
2010;The Sorcerer's Apprentice;Balthazar;Also executive producer;[74]
2011;Season of the Witch;Behmen;;[75]
2011;Drive Angry;Milton;;[76]
2011;Seeking Justice;Will Gerard;;[77]
2011;Trespass;Kyle Miller;;[78]
2011;Ghost Rider: Spirit of Vengeance;Johnny Blaze / Ghost Rider;;[79]
2012;A Thousand Words;—;Producer;[80]
2012;Stolen;Will Montgomery;;[81]
2012;Can't Stand Losing You: Surviving the Police;—;"Producer; documentary";[82]
2013;The Croods;Grug;Voice role;[83]
2013;The Frozen Ground;Sgt. Jack Halcombe;;[84]
2013;Joe;Joe;;[85]
2014;Rage;Paul Maguire;Direct-to-video;[86]
2014;Outcast;Gallain;;[87]
2014;Left Behind;Rayford Steele;;[88]
2014;Dying of the Light;Evan Lake;Direct-to-video;[89]
2015;"The Death of ""Superman Lives"": What Happened?";Clark Kent/Superman;Documentary;[90]
2015;The Runner;Colin Pryce;;[91]
2015;Pay the Ghost;Mike Lawford;;[92]
2016;The Trust;Stone;;[93]
2016;Dog Eat Dog;Troy;;[94]
2016;Snowden;Hank Forrester;;[95]
2016;USS Indianapolis: Men of Courage;Captain McVay;;[96]
2016;Army of One;Gary Brooks Faulkner;;[97]
2017;Arsenal;Eddie King;Direct-to-video;[98]
2017;Vengeance: A Love Story;John;Also producer;[99]
2017;Inconceivable;Dr. Brian Morgan;;[100]
2017;Mom and Dad;Brent;;[101]
2018;Mandy;Red Miller;;[102]
2018;Looking Glass;Ray;Direct-to-video;[103]
2018;The Humanity Bureau;Noah Kross;Direct-to-video;[104]
2018;211;Mike Chandler;Direct-to-video;[105]
2018;Teen Titans Go! To the Movies;Superman;Voice role;[106]
2018;Spider-Man: Into the Spider-Verse;Peter Parker / Spider-Man Noir;Voice role;[107]
2018;Between Worlds;Joe Majors;Direct-to-video;[108]
2019;Love, Antosha;Narrator;"Voice role; documentary";[109]
2019;A Score to Settle;Frank;"Direct-to-video; also executive producer";[110]
2019;Color Out of Space;Nathan;;[111]
2019;Running with the Devil;The Cook;Direct-to-video;[112]
2019;Kill Chain;Araña;Direct-to-video;[113]
2019;Primal;Frank Walsh;Direct-to-video;[114]
2019;Grand Isle;Walter;Direct-to-video;[115]
2020;Jiu Jitsu;Wylie;;[116]
2020;The Croods: A New Age;Grug;Voice role;[117]
2021;Prisoners of the Ghostland;Hero;;[118]
2021;Willy's Wonderland;The Janitor;Also producer;[119]
2021;Pig;"Robin ""Rob"" Feld";Also producer;[120]
2022;The Unbearable Weight of Massive Talent;Nick Cage / Nicky Cage;Also producer;[121]
2022;Butcher's Crossing;Miller;;[122]
2023;Renfield;Count Dracula;Post-production;[123]
TBA;The Retirement Plan;Matt;Post-production;[124]
TBA;The Old Way;Colton Briggs;Post-production;[125]
TBA;Sympathy for the Devil;The Passenger;Post-production;[126]
